,symbol,metric,value
0,MMM,Previous Close,141.75
1,MMM,Open,140.91
2,MMM,Bid,0.00 x 900
3,MMM,Ask,0.00 x 1200
4,MMM,Day's Range,139.71 - 141.59
5,MMM,52 Week Range,125.60 - 197.29
6,MMM,Volume,"15,393,894"
7,MMM,Avg. Volume,"3,897,362"
8,AOS,Previous Close,62.63
9,AOS,Open,61.75
10,AOS,Bid,0.00 x 800
11,AOS,Ask,67.64 x 800
12,AOS,Day's Range,61.12 - 62.06
13,AOS,52 Week Range,51.91 - 86.74
14,AOS,Volume,"515,931"
15,AOS,Avg. Volume,"942,245"
16,ABT,Previous Close,106.01
17,ABT,Open,105.90
18,ABT,Bid,105.07 x 1000
19,ABT,Ask,106.00 x 800
20,ABT,Day's Range,105.12 - 106.17
21,ABT,52 Week Range,101.24 - 142.60
22,ABT,Volume,"4,177,263"
23,ABT,Avg. Volume,"4,628,495"
24,ABBV,Previous Close,139.02
25,ABBV,Open,139.05
26,ABBV,Bid,0.00 x 1400
27,ABBV,Ask,143.00 x 900
28,ABBV,Day's Range,137.70 - 139.46
29,ABBV,52 Week Range,105.56 - 175.91
30,ABBV,Volume,"4,723,369"
31,ABBV,Avg. Volume,"5,867,746"
32,ABMD,Previous Close,292.24
33,ABMD,Open,287.69
34,ABMD,Bid,0.00 x 900
35,ABMD,Ask,0.00 x 1000
36,ABMD,Day's Range,284.85 - 293.00
37,ABMD,52 Week Range,219.85 - 379.30
38,ABMD,Volume,"237,339"
39,ABMD,Avg. Volume,"304,977"
40,ACN,Previous Close,306.70
41,ACN,Open,306.68
42,ACN,Bid,277.02 x 1100
43,ACN,Ask,340.00 x 900
44,ACN,Day's Range,303.86 - 307.98
45,ACN,52 Week Range,261.77 - 417.37
46,ACN,Volume,"1,649,395"
47,ACN,Avg. Volume,"2,077,025"
48,ATVI,Previous Close,79.34
49,ATVI,Open,79.36
50,ATVI,Bid,79.28 x 1000
51,ATVI,Ask,79.98 x 800
52,ATVI,Day's Range,79.14 - 79.73
53,ATVI,52 Week Range,56.40 - 86.90
54,ATVI,Volume,"3,436,028"
55,ATVI,Avg. Volume,"4,653,133"
56,ADM,Previous Close,88.05
57,ADM,Open,87.88
58,ADM,Bid,0.00 x 800
59,ADM,Ask,0.00 x 800
60,ADM,Day's Range,86.65 - 89.18
61,ADM,52 Week Range,58.44 - 98.88
62,ADM,Volume,"2,057,409"
63,ADM,Avg. Volume,"3,056,432"
64,ADBE,Previous Close,410.41
65,ADBE,Open,410.68
66,ADBE,Bid,0.00 x 800
67,ADBE,Ask,0.00 x 900
68,ADBE,Day's Range,405.34 - 413.24
69,ADBE,52 Week Range,338.00 - 699.54
70,ADBE,Volume,"1,883,945"
71,ADBE,Avg. Volume,"2,740,066"
72,ADP,Previous Close,255.77
73,ADP,Open,256.19
74,ADP,Bid,0.00 x 900
75,ADP,Ask,0.00 x 1100
76,ADP,Day's Range,255.25 - 257.34
77,ADP,52 Week Range,192.26 - 261.59
78,ADP,Volume,"864,287"
79,ADP,Avg. Volume,"1,512,119"
80,AAP,Previous Close,199.05
81,AAP,Open,182.79
82,AAP,Bid,179.84 x 900
83,AAP,Ask,0.00 x 1200
84,AAP,Day's Range,176.75 - 185.00
85,AAP,52 Week Range,164.00 - 244.55
86,AAP,Volume,"3,605,620"
87,AAP,Avg. Volume,"750,075"
88,AES,Previous Close,24.81
89,AES,Open,24.81
90,AES,Bid,22.00 x 1000
91,AES,Ask,0.00 x 1100
92,AES,Day's Range,24.72 - 25.57
93,AES,52 Week Range,18.62 - 26.52
94,AES,Volume,"3,928,620"
95,AES,Avg. Volume,"5,271,845"
96,AFL,Previous Close,61.59
97,AFL,Open,61.59
98,AFL,Bid,0.00 x 900
99,AFL,Ask,62.43 x 900
100,AFL,Day's Range,61.20 - 61.78
101,AFL,52 Week Range,51.28 - 67.20
102,AFL,Volume,"1,653,842"
103,AFL,Avg. Volume,"2,464,098"
104,A,Previous Close,132.64
105,A,Open,133.02
106,A,Bid,0.00 x 1100
107,A,Ask,135.80 x 800
108,A,Day's Range,132.65 - 134.54
109,A,52 Week Range,112.52 - 179.57
110,A,Volume,"895,270"
111,A,Avg. Volume,"1,540,274"
112,APD,Previous Close,261.32
113,APD,Open,261.79
114,APD,Bid,0.00 x 1100
115,APD,Ask,0.00 x 900
116,APD,Day's Range,260.83 - 263.84
117,APD,52 Week Range,216.24 - 316.39
118,APD,Volume,"557,694"
119,APD,Avg. Volume,"1,101,887"
120,AKAM,Previous Close,93.36
121,AKAM,Open,93.11
122,AKAM,Bid,90.48 x 800
123,AKAM,Ask,0.00 x 800
124,AKAM,Day's Range,92.63 - 94.14
125,AKAM,52 Week Range,85.90 - 123.25
126,AKAM,Volume,"935,261"
127,AKAM,Avg. Volume,"1,562,564"
128,ALK,Previous Close,44.50
129,ALK,Open,44.66
130,ALK,Bid,0.00 x 800
131,ALK,Ask,50.00 x 800
132,ALK,Day's Range,44.50 - 45.51
133,ALK,52 Week Range,38.19 - 63.76
134,ALK,Volume,"943,591"
135,ALK,Avg. Volume,"1,610,664"
136,ALB,Previous Close,281.03
137,ALB,Open,282.00
138,ALB,Bid,289.00 x 1100
139,ALB,Ask,291.48 x 800
140,ALB,Day's Range,280.01 - 288.60
141,ALB,52 Week Range,169.93 - 291.48
142,ALB,Volume,"771,192"
143,ALB,Avg. Volume,"1,345,720"
144,ARE,Previous Close,157.68
145,ARE,Open,158.18
146,ARE,Bid,155.55 x 1000
147,ARE,Ask,160.25 x 900
148,ARE,Day's Range,158.10 - 160.20
149,ARE,52 Week Range,130.00 - 224.95
150,ARE,Volume,"745,074"
151,ARE,Avg. Volume,"1,137,733"
152,ALGN,Previous Close,252.23
153,ALGN,Open,252.68
154,ALGN,Bid,0.00 x 800
155,ALGN,Ask,299.00 x 800
156,ALGN,Day's Range,251.60 - 262.92
157,ALGN,52 Week Range,225.86 - 737.45
158,ALGN,Volume,"692,901"
159,ALGN,Avg. Volume,"971,269"
160,ALLE,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
161,LNT,Previous Close,64.04
162,LNT,Open,63.95
163,LNT,Bid,63.35 x 1100
164,LNT,Ask,63.37 x 1100
165,LNT,Day's Range,63.17 - 64.09
166,LNT,52 Week Range,54.20 - 65.37
167,LNT,Volume,"908,913"
168,LNT,Avg. Volume,"1,666,108"
169,ALL,Previous Close,125.50
170,ALL,Open,125.41
171,ALL,Bid,118.00 x 1100
172,ALL,Ask,0.00 x 900
173,ALL,Day's Range,125.10 - 127.35
174,ALL,52 Week Range,106.11 - 144.46
175,ALL,Volume,"1,214,769"
176,ALL,Avg. Volume,"1,849,067"
177,GOOGL,Previous Close,113.86
178,GOOGL,Open,113.50
179,GOOGL,Bid,0.00 x 800
180,GOOGL,Ask,0.00 x 800
181,GOOGL,Day's Range,112.87 - 114.78
182,GOOGL,52 Week Range,101.88 - 151.55
183,GOOGL,Volume,"16,885,441"
184,GOOGL,Avg. Volume,"33,393,743"
185,GOOG,Previous Close,114.77
186,GOOG,Open,114.45
187,GOOG,Bid,0.00 x 1300
188,GOOG,Ask,0.00 x 800
189,GOOG,Day's Range,113.78 - 115.72
190,GOOG,52 Week Range,102.21 - 152.10
191,GOOG,Volume,"16,051,174"
192,GOOG,Avg. Volume,"27,337,446"
193,MO,Previous Close,45.53
194,MO,Open,45.50
195,MO,Bid,45.90 x 1800
196,MO,Ask,46.18 x 800
197,MO,Day's Range,45.40 - 45.84
198,MO,52 Week Range,41.00 - 57.05
199,MO,Volume,"4,166,775"
200,MO,Avg. Volume,"10,604,153"
201,AMZN,Previous Close,133.62
202,AMZN,Open,132.75
203,AMZN,Bid,135.48 x 800
204,AMZN,Ask,0.00 x 900
205,AMZN,Day's Range,132.10 - 135.47
206,AMZN,52 Week Range,101.26 - 188.11
207,AMZN,Volume,"38,626,978"
208,AMZN,Avg. Volume,"70,404,037"
209,AMCR,Previous Close,12.58
210,AMCR,Open,12.63
211,AMCR,Bid,11.98 x 38500
212,AMCR,Ask,13.02 x 2200
213,AMCR,Day's Range,12.50 - 12.71
214,AMCR,52 Week Range,10.66 - 13.61
215,AMCR,Volume,"8,960,868"
216,AMCR,Avg. Volume,"9,746,838"
217,AMD,Previous Close,92.49
218,AMD,Open,92.21
219,AMD,Bid,92.60 x 1200
220,AMD,Ask,92.95 x 1000
221,AMD,Day's Range,90.90 - 93.38
222,AMD,52 Week Range,71.60 - 164.46
223,AMD,Volume,"54,727,314"
224,AMD,Avg. Volume,"88,733,372"
225,AEE,Previous Close,95.83
226,AEE,Open,95.70
227,AEE,Bid,95.54 x 800
228,AEE,Ask,95.55 x 1100
229,AEE,Day's Range,94.68 - 95.95
230,AEE,52 Week Range,80.27 - 99.20
231,AEE,Volume,"605,587"
232,AEE,Avg. Volume,"1,414,379"
233,AAL,Previous Close,13.82
234,AAL,Open,13.84
235,AAL,Bid,14.17 x 21500
236,AAL,Ask,14.20 x 36100
237,AAL,Day's Range,13.77 - 14.05
238,AAL,52 Week Range,11.93 - 22.35
239,AAL,Volume,"17,825,078"
240,AAL,Avg. Volume,"33,737,298"
241,AEP,Previous Close,102.70
242,AEP,Open,102.64
243,AEP,Bid,0.00 x 800
244,AEP,Ask,103.70 x 800
245,AEP,Day's Range,101.90 - 102.78
